brain_region,model_type,num_nodes,num_edges,algebraic_connectivity,spectral_gap,laplacian_largest,normalized_laplacian_largest
AL,original,1041,8246,0.09152098082490273,0.09152098082464388,3651.5714387317535,1.957474275412146
AL,configuration_model,1041,7683,0.3718804351230016,0.3718804351229978,282.0958480896512,1.721271622819423
AL,coarsened,521,1440,0.09467584602334728,0.09467584602304233,16649.909546741757,1.95747423514071
EB,original,854,30557,0.7325063013315543,0.7325063013312786,8513.729859042513,1.8068736144698019
EB,configuration_model,854,24676,0.38059222892362554,0.3805922289236189,228.93584817206616,1.7089139525055326
EB,coarsened,427,1254,0.7930912481343239,0.7930912481353535,215328.82301764088,1.804549366970929
FB,original,4366,142227,1.1447045873109474,1.1447045873126633,8656.187798154855,1.7077907026731811
FB,configuration_model,4366,134763,0.3780795604004632,0.3780795604004027,695.2394808749694,1.7122355077608256
FB,coarsened,2183,9797,1.1466080815693669,1.1466080815616404,247363.31548321317,1.707125154132913
LH,original,3712,91377,2.5978197898332276,2.597819789833416,10427.594553910669,1.4830305397473942
LH,configuration_model,3712,88198,0.858617093105157,0.8586170931045886,727.1206783666455,1.5240038090729853
LH,coarsened,1856,17998,2.84231277656612,2.842312776567246,216724.09642957005,1.381217240284641
MB,original,598,10856,14.904856991412316,14.90485699141254,8443.94650549543,1.558146185858528
MB,configuration_model,598,9707,3.8377030832519816,3.8377030832521175,239.1191348688361,1.342554775653093
MB,coarsened,299,2441,15.10908171646713,15.109081716467998,50010.97378590204,1.5150074164701366
