region,strategy,fraction,lcc_size,percolation_type
al,random,0.0,1.0,node
al,random,0.05,0.9452449567723343,node
al,random,0.1,0.8943323727185398,node
al,random,0.15,0.840537944284342,node
al,random,0.2,0.7896253602305475,node
al,random,0.25,0.7358309317963496,node
al,random,0.3,0.664745437079731,node
al,random,0.35,0.6090297790585975,node
al,random,0.4,0.5571565802113353,node
al,random,0.45,0.5033621517771374,node
al,random,0.5,0.44668587896253603,node
al,random,0.55,0.36407300672430354,node
al,random,0.6,0.3208453410182517,node
al,random,0.65,0.2728146013448607,node
al,random,0.7,0.21805955811719502,node
al,random,0.75,0.1834774255523535,node
al,random,0.8,0.13160422670509125,node
al,random,0.85,0.08069164265129683,node
al,random,0.9,0.012487992315081652,node
al,random,0.95,0.007684918347742555,node
al,random,1.0,0.0,node
al,high_degree,0.0,1.0,node
al,high_degree,0.05,0.6983669548511047,node
al,high_degree,0.1,0.6445725264169068,node
al,high_degree,0.15,0.5331412103746398,node
al,high_degree,0.2,0.37079731027857826,node
al,high_degree,0.25,0.2689721421709894,node
al,high_degree,0.3,0.2526416906820365,node
al,high_degree,0.35,0.16714697406340057,node
al,high_degree,0.4,0.14697406340057637,node
al,high_degree,0.45,0.09510086455331412,node
al,high_degree,0.5,0.07973102785782901,node
al,high_degree,0.55,0.06051873198847262,node
al,high_degree,0.6,0.04418828049951969,node
al,high_degree,0.65,0.03842459173871278,node
al,high_degree,0.7,0.021133525456292025,node
al,high_degree,0.75,0.009606147934678195,node
al,high_degree,0.8,0.009606147934678195,node
al,high_degree,0.85,0.002881844380403458,node
al,high_degree,0.9,0.0019212295869356388,node
al,high_degree,0.95,0.0009606147934678194,node
al,high_degree,1.0,0.0,node
al,low_degree,0.0,1.0,node
al,low_degree,0.05,0.9500480307396734,node
al,low_degree,0.1,0.8981748318924111,node
al,low_degree,0.15,0.8482228626320846,node
al,low_degree,0.2,0.8001921229586936,node
al,low_degree,0.25,0.7502401536983669,node
al,low_degree,0.3,0.6983669548511047,node
al,low_degree,0.35,0.6493756003842459,node
al,low_degree,0.4,0.5994236311239193,node
al,low_degree,0.45,0.5504322766570605,node
al,low_degree,0.5,0.5004803073967339,node
al,low_degree,0.55,0.4495677233429395,node
al,low_degree,0.6,0.40057636887608067,node
al,low_degree,0.65,0.3506243996157541,node
al,low_degree,0.7,0.30067243035542746,node
al,low_degree,0.75,0.2507204610951009,node
al,low_degree,0.8,0.20076849183477424,node
al,low_degree,0.85,0.15081652257444764,node
al,low_degree,0.9,0.10086455331412104,node
al,low_degree,0.95,0.05091258405379443,node
al,low_degree,1.0,0.0,node
fb,random,0.0,1.0,node
fb,random,0.05,0.9370132844709116,node
fb,random,0.1,0.8792945487860742,node
fb,random,0.15,0.8126431516262025,node
fb,random,0.2,0.7558405863490609,node
fb,random,0.25,0.6965185524507559,node
fb,random,0.3,0.6433806688043976,node
fb,random,0.35,0.5849748053137883,node
fb,random,0.4,0.5295464956481906,node
fb,random,0.45,0.47411818598259275,node
fb,random,0.5,0.41754466330737516,node
fb,random,0.55,0.36761337608795236,node
fb,random,0.6,0.3142464498396702,node
fb,random,0.65,0.27072835547411817,node
fb,random,0.7,0.2221713238662391,node
fb,random,0.75,0.1797984425103069,node
fb,random,0.8,0.13902885936784243,node
fb,random,0.85,0.09848831882730189,node
fb,random,0.9,0.06092533211177279,node
fb,random,0.95,0.028401282638570773,node
fb,random,1.0,0.0,node
fb,high_degree,0.0,1.0,node
fb,high_degree,0.05,0.8105817682088868,node
fb,high_degree,0.1,0.6637654603756299,node
fb,high_degree,0.15,0.5723774622079707,node
fb,high_degree,0.2,0.49289967934035733,node
fb,high_degree,0.25,0.42304168575355017,node
fb,high_degree,0.3,0.34883188273018784,node
fb,high_degree,0.35,0.27347686669720567,node
fb,high_degree,0.4,0.20636738433348603,node
fb,high_degree,0.45,0.1211635364177737,node
fb,high_degree,0.5,0.02244617498854787,node
fb,high_degree,0.55,0.018781493357764543,node
fb,high_degree,0.6,0.0006871278057718735,node
fb,high_degree,0.65,0.0004580852038479157,node
fb,high_degree,0.7,0.0004580852038479157,node
fb,high_degree,0.75,0.00022904260192395785,node
fb,high_degree,0.8,0.00022904260192395785,node
fb,high_degree,0.85,0.00022904260192395785,node
fb,high_degree,0.9,0.00022904260192395785,node
fb,high_degree,0.95,0.00022904260192395785,node
fb,high_degree,1.0,0.0,node
fb,low_degree,0.0,1.0,node
fb,low_degree,0.05,0.9500687127805771,node
fb,low_degree,0.1,0.9001374255611544,node
fb,low_degree,0.15,0.8502061383417315,node
fb,low_degree,0.2,0.8000458085203848,node
fb,low_degree,0.25,0.750114521300962,node
fb,low_degree,0.3,0.7001832340815392,node
fb,low_degree,0.35,0.6500229042601924,node
fb,low_degree,0.4,0.6000916170407696,node
fb,low_degree,0.45,0.5501603298213468,node
fb,low_degree,0.5,0.5,node
fb,low_degree,0.55,0.4500687127805772,node
fb,low_degree,0.6,0.4001374255611544,node
fb,low_degree,0.65,0.3502061383417316,node
fb,low_degree,0.7,0.3000458085203848,node
fb,low_degree,0.75,0.25011452130096196,node
fb,low_degree,0.8,0.20018323408153918,node
fb,low_degree,0.85,0.1500229042601924,node
fb,low_degree,0.9,0.10009161704076959,node
fb,low_degree,0.95,0.05016032982134677,node
fb,low_degree,1.0,0.0,node
