Region,Region_Name,Seed,Target_Nodes,Actual_Nodes,Edges,Time,Status,Error
EB,Ellipsoid Body,42,1500,1500,62241,0.43146395683288574,SUCCESS,
EB,Ellipsoid Body,123,1500,1500,61227,0.4976499080657959,SUCCESS,
EB,Ellipsoid Body,456,1500,1500,66778,0.4593229293823242,SUCCESS,
FB,Fan-shaped Body,42,1500,1500,49361,0.37543201446533203,SUCCESS,
FB,Fan-shaped Body,123,1500,1500,47555,0.4113130569458008,SUCCESS,
FB,Fan-shaped Body,456,1500,1500,48085,0.3638179302215576,SUCCESS,
MB,Mushroom Body,42,1500,1500,31160,0.0,SKIPPED,
MB,Mushroom Body,123,1500,1500,30183,0.20498394966125488,SUCCESS,
MB,Mushroom Body,456,1500,1500,30409,0.20580220222473145,SUCCESS,
LH,Lateral Horn,42,1500,1500,35983,0.28124213218688965,SUCCESS,
LH,Lateral Horn,123,1500,1500,37760,0.2621278762817383,SUCCESS,
LH,Lateral Horn,456,1500,1500,38274,0.27780985832214355,SUCCESS,
AL,Antennal Lobe,42,1500,1500,14685,0.09890294075012207,SUCCESS,
AL,Antennal Lobe,123,1500,1500,14526,0.0983891487121582,SUCCESS,
AL,Antennal Lobe,456,1500,1500,14822,0.10052299499511719,SUCCESS,
