Region,Region_Name,Seed,Nodes,Edges,Time,Status,Error
EB,Ellipsoid Body,42,854,32435,0.22780799865722656,SUCCESS,
EB,Ellipsoid Body,123,854,32437,0.22704291343688965,SUCCESS,
EB,Ellipsoid Body,456,854,32453,0.22857093811035156,SUCCESS,
FB,Fan-shaped Body,42,4366,160888,1.4388859272003174,SUCCESS,
FB,Fan-shaped Body,123,4366,160859,1.513833999633789,SUCCESS,
FB,Fan-shaped Body,456,4366,160682,1.488839864730835,SUCCESS,
MB,Mushroom Body,42,598,11392,0.0,SKIPPED,
MB,Mushroom Body,123,598,11403,0.06545877456665039,SUCCESS,
MB,Mushroom Body,456,598,11368,0.08806300163269043,SUCCESS,
LH,Lateral Horn,42,3712,95974,0.7226438522338867,SUCCESS,
LH,Lateral Horn,123,3712,96002,0.8831088542938232,SUCCESS,
LH,Lateral Horn,456,3712,96019,0.6763172149658203,SUCCESS,
AL,Antennal Lobe,42,1041,9895,0.08220911026000977,SUCCESS,
AL,Antennal Lobe,123,1041,9918,0.0784761905670166,SUCCESS,
AL,Antennal Lobe,456,1041,9900,0.05691695213317871,SUCCESS,
